abstract,author,screenshot,time,title,url
"新华社北京2月18日电题:开足马力保防控复工复产稳经济——中央全力以赴抗击 新华社记者王希 为防控新冠肺炎,中央开展了哪些支援保障工作?目前...",人民网,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291d27d141cb20801bbab61347c1420c0d99fd50883ec852858d97a6b671cf1104ece45acd64627c1228d58e9ac13faebf33091a4c5d3a95550cd58047a81f59c5a774e8c30ae&p=9965c30184904ead08e2977d4264&newp=c233c54ad5c000fc57efdf3e4a4892695912c10e38d2c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5561&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=1,2020-02-18 22:53:00,开足马力保防控 复工复产稳经济——中央企业全力以赴抗击疫情,http://society.people.com.cn/n1/2020/0218/c1008-31593237.html
"金禾农业是退伍军人陈添鑫创办的企业,疫情来袭,他第一个通过区红十字会向武汉捐款10万元,同时,组织所有在虞员工坚守岗位,为有需要的机关、企事业单位和居民群众提供...",浙江新闻,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8735420cdb3066848d027fa3c31bc8321c564711b2e6783f5113d2b1273116ae3f5feef73c783d0922bc9cc88949d9bc952e2e8a30347459d20105d26fee891d739660875aedfb44a7adf144d1ffc696821405c544737a9786ff4d7111dd18fb033192b1e84c022b11ad9b30728f5e&p=8436f91985cc43ee1abd9b7d0a0c&newp=9f769a4789912df008e29779420a92695912c10e39d4c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b557fe5f797&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=2,2020-02-18 23:16:00,"疫情期间,退伍军人的企业不缺席",https://baijiahao.baidu.com/s?id=1658888095231655430&wfr=spider&for=pc
"在疫情防控期间,将向主要全国性银行和湖北等重点省(市、区)的部分地方法人银行提供3000亿元低成本专项再贷款资金,向应对疫情的重要医用、生活物资生产企业提供优惠...",中国青年网,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291846b6672b2540cb9ab6e29645973ea8cc8ff1a8ee0c46f388850652d439b0005d26df49d5124b723945de3a513e1b8fa3295acd4d1da5055cc53127a84b5df1a1715bc2eb24f67b4e68e48110b4dfafa3113bd08&p=c2759a45d5af12a05ab782295505&newp=9f65d316d9c110b408e2947d426492695912c10e39d2c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5571ac&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=3,2020-02-18 22:04:00,金融助力“战疫情”|专项再贷款驰援企业(二),https://baijiahao.baidu.com/s?id=1658884082404076442&wfr=spider&for=pc
"“两手抓、两不误”,近日,青岛市自然资源和规划局根据自然资源部办公厅《关于做好防控建设项目用地保障工作的通知》及有关规定,制定了全力应对支持发展...",新浪,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b9131480e97634b968b492cc3933fc23904564711b2e73a624d5a8dd87c6501ad5e5c9cf23665377523bd869ed51bcabbe47374d76d7f3358ce4019d419accc4532c157d100aff047f3ffad72c5a1c5a5df4325be44747f9787804d0065dd1ef40345e2b1ef48022f17&p=8a3ddc1ec5904ead08e2957c5348&newp=c278c54ad7c150ec0be29627445d92695912c10e3dd5c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5531f4&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=4,2020-02-18 19:34:00,青岛出台全力应对疫情支持企业发展15条措施,https://tech.sina.com.cn/roll/2020-02-18/doc-iimxyqvz3952151.shtml
"原标题:拐点再不到,中小就要撑不住了 2020 年春节,一场突如其来的肺炎让各行各业均在不同程度受到波及,各行业的发展仿佛被按下了暂停键,面临艰难...",新浪,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b9131480e97634b968b492cc3933fc23904564711b2e73a624d5a8dd87c6501ad5e5c9cf23665377523bd869ed51bcabbe47374d76d7e315ad24115d31ca8c14c32c157d100aff047f3ffad72c5a1c5a5df4325be44747f9787804d0065dd1ef40345e2b1ef48022f17&p=8a3ddc1ec5904ead08e295795348&newp=c278c54ad7c450ec0be29627445d92695912c10e37d4c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5531f4&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=5,2020-02-18 20:46:00,"疫情拐点再不到,中小企业就要撑不住了",https://tech.sina.com.cn/roll/2020-02-18/doc-iimxxstf2527588.shtml
"新华社北京2月18日电 记者18日了解到,中国出口信用保险公司开辟理赔服务绿色通道,优先处理受影响出口的出险理赔,简化程序,在贸易真实情况下,适当放宽理赔条件...",新浪财经,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8735420cdb3066848d027fa3c31bc8321c564711b2e6783f5113d2b1273116ae3f5feef73c783d0224b69cc38d41ddb09022288230347459d20105d26fee891d739660875aedfb44a7adf144d1ffc696821405c544737a9786ff4d7111dd18fb033192b1e84c022b11ad9b30728f5e&p=8a3ddc1ec5904ead08e2927f5348&newp=c278c54ad0c250ec0be29627445d92695912c10e37dcc44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5531f4&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=6,2020-02-18 21:46:00,中国信保:优先处理受疫情影响出口企业出险理赔,https://baijiahao.baidu.com/s?id=1658883635979290858&wfr=spider&for=pc
"之下,还要不要做营销? 在大灾大难持续发生这段期间,就应该完全停止所有营销吗? 当然不是。 经济效益不好时,大家的压力都很大,2020年的目标变得很纯...",新浪财经,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291846b6672b2540cb9ab6e29645973ea8cc8ff1a8ee0c46f388850652d439b0005d26df49d5124b723945de3a513e6baf73794add9d0d85352c056127a84b5df1a1715bc2eb24f67b4e68e48110b4dfafa3113bd08&p=9965c30184904ead08e294794264&newp=c233c54ad6c400fc57efdf3e4a4892695912c10e3cd0c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5561&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=7,2020-02-18 20:18:00,"疫情之下,企业怎样来做营销?",https://baijiahao.baidu.com/s?id=1658883257519155387&wfr=spider&for=pc
"疫情防控举措,严格做到外防输入...",法制网,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291d27d141cb20c19afe73605695475e4c59edb1183f0852858d97a6b671cf1104ece4cfc951872816b8d0bb4f35fb0e6b62f93acd2d1c85425c85318798aedda075c529d33b6033697ac9a4b10541bb8fa3012a51f2877&p=9965c30184904ead08e2977a4264&newp=c233c54ad5c700fc57efdf3e4a4892695912c10e3fd3c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5561&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=8,2020-02-18 22:37:00,警方助力复工企业强化疫情防控,http://www.legaldaily.com.cn/gallery/content/2020-02/18/content_8117990.html
"2月12日,中国银行太原平阳支行成功为山西省八家重点防疫保障之一山西HA科技股份有限公司发放1000万元防控专项贷款,成为山西省...",中国金融新闻网,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291d27d141cb20c19afe7360563587ce4c799d31983e7c56d6e9f27432141d95612a448f3d60e63dc79c811aab219e5baf23093b394d3dd5451c853067097f7ff59051fc06af6033194fcdf174b&p=9965c30184904ead08e29e317f&newp=c233c54adc8212a05aa6d4395353d8265f15ed6928818b783b83d309c839074e4765e7b121251707d7ce68216cee1e1ee5a76a2476&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=9,2020-02-18 21:47:00,驰援企业 打赢疫情阻击战,http://www.financialnews.com.cn/zt/kjyq/202002/t20200218_179874.html
"尽管疫情还在,企业已陆续复工。疫情过后,企业家们要如何重拾信心,又需要如何执掌经营之舵? 2月17日,复工第一天,马云特地给湖畔大学副校长卢洋打去了电话,交代了...",钱江晚报,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291846b6672b2540cb9ab6e29645973ea8cc8ff1a8ee0c46f388850652d439b0005d26df49d5124b723945de3a51ce1b9f13391abd2d8df5453c952127a84b5df1a1715bc2eb24f67b4e68e48110b4dfafa3113bd08&p=9965c30184904ead08e2927d4264&newp=c233c54ad0c000fc57efdf3e4a4892695912c10e3ad4c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5561&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=8550d7eb00017d57&p1=10,2020-02-18 19:25:00,马云说丨疫情过后企业家需要注意什么?听听马云的三点建议吧,https://baijiahao.baidu.com/s?id=1658874133072922213&wfr=spider&for=pc
