abstract,author,screenshot,time,title,url
"为了解与评估新型冠状病毒对小微带来的影响,经济日报—中国邮政储蓄银行小微运行指数课题组近日采用随机抽样的方法,对全国小微展开问卷调查。调查共...",手机凤凰网,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291d27d141cb21d07b6a36a23601420c0c09cdf1688ac925f7ed57829210183075ad273e98c417cb948&p=cb70c40f85cc43fe08e2927b5c07&newp=c66cc00d86cc47aa1bbe9b7c575192695912c10e3ad2c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5563&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=1,2020-02-11 20:11:00,疫情对小微企业影响究竟有多大?这些国家政策都get到了吗?,http://finance.ifeng.com/c/7tz3Xtu5kJZ
"经济日报-中国经济网北京2月11日讯 受新型冠状病毒肺炎影响,当前许多承受着较大压力。“对于广大中小来说,只有活下去才是王道。”中国行动学习研究中心...",中国经济网,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291d27d141cb20c19afe73605665437b7ec99d4578cf0d37932dc71656d48d75c12d119adc94638c2238d1ce9ad19e5b8f03190b9d5a7de5253cc590f7e82e78b2d414e8c30ae&p=8e3ec54ad0c30ae40be296251e64&newp=8b2a975689840eb405bd9b780d0e92695912c10e37ddc44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5533e8dc879317&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=2,2020-02-11 19:54:00,应对疫情压力 企业调整策略“自救互救”,http://www.ce.cn/cysc/fdc/fc/202002/11/t20200211_34248860.shtml
"2020全年到底会发生什么,取决于遏制的程度。... 「黑天鹅事件」,由于防控的要求,家居行业全国的多数家居卖场、展会、自营门店,甚至家具制造业都已歇业,有...",财经网,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291d27d141cb21e1daca37025200357e6c893d01181ee852858d97a6b671cf1104ece19adcb4427c1239347efab1fe7bef23784aea59285120c94&p=882a94429c9f09fc57efc23b4907&newp=8164d11c86cc40a809b0c7710f5d92695912c10e3dd0c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5571ea&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=3,2020-02-11 17:54:00,疫情下的中国家居市场 | 企业篇,http://estate.caijing.com.cn/20200211/4642607.shtml
"2月11日,上海市地方金融监管局发布细则,对于此前《上海市全力防控 支持服务平稳健康发展的若干政策措施》的相关内容作出进一步说明。 一、关于“(二)加强对...",新浪,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b9131480e97634b968b492cc3933fc23904564711b2e73a624d5a8dd87c6501ad5e5c9cf23665377523b4869ed51bcabbe47374d76d7e315ad24316d21aaacd4032c157d100aff047f3ffad72c5a1c5a5df4325be44747f9787804d0065dd1ef40345e2b1ef48022f17&p=c23bc64ad4855dff57e7852258&newp=c0769a4795d559b908e29e2b1553d8265f15ed6928818b783b83d309c839074e4765e7b121251707d7ce68216cee1e1ee5a76a24741538a1&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=4,2020-02-11 20:24:00,上海:鼓励与疫情防控相关科创企业在科创板上市,https://tech.sina.com.cn/roll/2020-02-11/doc-iimxxstf0631744.shtml
"该名单上的公司还包括蔬菜市场经营者、救护车制造商、环保公司以及其他对维持食品供应和遏制起到关键作用的。 总之,这些寻求贷款的公司要么参与了的防控...",新浪,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b9131480e97634b968b492cc3933fc23904564711b2e73a624d5a8dd87c6501ad5e5c9cf23665377523b4869ed51bcabbe47374d76d7e315ad24316d11bafca4332c157d100aff047f3ffad72c5a1c5a5df4325be44747f9787804d0065dd1ef40345e2b1ef48022f17&p=882a96448d9202f44bbe9b7c5c40&newp=882a9644889700fc57ef882f150592695912c10e3fd6c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b557ee3da&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=5,2020-02-11 18:54:00,"受疫情影响,小米美团等 300 家企业寻求贷款,总额至少 574 亿元",https://tech.sina.com.cn/roll/2020-02-11/doc-iimxxstf0600237.shtml
"复工的阆中企业 封面新闻记者 李兴罡 2月11日,南充出台关于应对新冠肺炎疫情,支持中小企业共渡难关的16条措施。从加大财税支持、金融支持、用工保障和稳岗支持等方...",封面新闻,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8735420cdb3066848d027fa3c31bc8321c564711b2e6783f5113d2b1273116ae3f5feef73c7231032bbd9dce8b4bdcbf922d2b8c30347459d20105d26fee891d739660875aedfb44a7adf144d1ffc696821405c544737a9786ff4d7111dd18fb033192b1e84c022b11ad9b30728f5e&p=996ecc16d9c150ea2abd9b780b41&newp=9e7f8b16d9c105be09bd9b780b4792695912c10e3ad1c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5564a6ca&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=6,2020-02-11 20:18:00,应对新冠肺炎疫情 四川南充出台16条举措支持中小企业渡难关,https://baijiahao.baidu.com/s?id=1658242984413362766&wfr=spider&for=pc
"日前,江苏银保监局先后出台系列政策措施,进一步强化金融对新型冠状病毒感染肺炎防控工作的支持,在做好防控前提下,出实招、下实功,全力支持、有序推动复工复...",新浪财经,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8735420cdb3066848d027fa3c31bc8321c564711b2e6783f5113d2b1273116ae3f5feef73c7237072bb19bcd834adcb0952d248f30347459d20105d26fee891d739660875aedfb44a7adf144d1ffc696821405c544737a9786ff4d7111dd18fb033192b1e84c022b11ad9b30728f5e&p=92759a44a49d12a05aaadf6847&newp=8e34cf16d9c157f32abd9b7f5053d8265f15ed6228818b783b83d309c839074e4765e7b121251707d7ce68216cee1e1ee5a76a24215f52&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=7,2020-02-11 15:54:00,江苏银保监局多措并举助力疫情受困企业复工复产,https://baijiahao.baidu.com/s?id=1658226942792395795&wfr=spider&for=pc
"一时间,家电企业经营压力陡增。 人心惶惶之下,也有企业“踩雷”蹭热点,如小米雷军的“无聊时去刷小米商城”、荣耀赵明的借疫情话题刷“荣耀智慧屏”等营销均遭到...",同花顺财经,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291846b6672b2540cb9ab6e29645973ea8cc8ff1a8ee0c46f388850652d439b0005d26df49d5124b723945de3af1fe1bbfb3390acd3d5da5f56cc53127a84b5df1a1715bc2eb24f67b4e68e48110b4dfafa3113bd08&p=9b7dc115d9c540fd4bbe9b7c5654&newp=837cc315d9c540b71fb0c7710f5992695912c10e3ad6c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5538f0c6&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=8,2020-02-11 20:44:00,疫情当下 家电企业如何“开张”营销,https://baijiahao.baidu.com/s?id=1658244393103479742&wfr=spider&for=pc
"K歌之王的困难跟有关?不能遇到困难,就想把员工一散了之!来源:放牛塘原创放牛塘主技术支持:放牛塘投资者保护研究院最近微信朋友圈的信息,...",新浪,http://cache.baidu.com/c?m=9f65cb4a8c8507ed4fece76310428c3a4a08d1342bd7a7542488c05f93130a1c1871e3cc767e0d4595982d3e1cf50217b2ed3670370137b7edca885dddcd912b32de7a65671cf01a498c53e58a0071c3249050eaab1ff0ba8773c9e88d8dcb110e8a050a6df6f09c2c7403bb6ae7633af4a6e85f645b07ceec2713ff4e072e&p=c43ed315d9c04aed0caec7710f5e&newp=833dc64ad49e11a05be68c2b4b4d92695912c10e39d0c44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b557d&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=9,2020-02-11 20:28:00,K歌之王的困难跟疫情有关?企业不能遇到困难就裁员,http://finance.sina.com.cn/stock/hyyj/2020-02-11/doc-iimxxstf0628164.shtml
"工行已放贷超430亿元支持防控和生产 ---记者从中国工商银行获悉,1月24日以来,工行已经投放贷款超过430亿元,其中130亿元用于防控,300亿元用于支持...",新华网客户端,http://cache.baidu.com/c?m=9f65cb4a8c8507ed4fece763105392230e54f729678b8a522c88c40e84642c101a39fef97a7c4b4288943d7a01ad495efdf04070371e23b486999f4da9b89128288f203f741d8c5612a443e99452609c60c655fed919f0cc8425e2abc5a4d44353bb44747e97848a4d7614dd1ff7&p=9a6ad216d9c118f908e294755451&newp=8b2a9702998b11a058e6c264444192695912c10e3cdcc44324b9d71fd325001c1b69e3b823281603d4c6786c15e9241dbdb239256b5567f8d3&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=859f662d0000e71d&p1=10,2020-02-11 16:54:00,工行已放贷超430亿元支持疫情防控和企业生产,http://www.xinhuanet.com/politics/2020-02/11/c_1125559638.htm
