,abstract,author,screenshot,time,title,url
230,"近段时间在武汉爆发的新型冠状病毒(2019-nCoV)感染的肺炎,已经牵动了大量的关注。面对这一疫情,已渗透进我们日常生活方方面面的互联网企业也已经做出反应,并与全国...",三易在线,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8735420cdb3066848d027fa3c31bc8321c564711b2e6783f5113d2b1273116ae3f5feef73274370720b29dcf8f4cdbb99528298230347459d20105d26fee891d739660875aedfb44a7adf144d1ffc696821405c544737a9786ff4d7111dd18fb033192b1e84c022b11ad9b30728f5e&p=882a95408d9901b70be2963b165f&newp=c4759a45d38819fc57efdd3f4c4d92695803ed663dd3c44324b9d71fd325001c1b69e7be2d291006d4c77a6704a94c5ae8fa3778301766dada9fca458ae7c46377&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=87c789b900aceac2&p1=231,2020-01-22 19:06:00,"面对新型肺炎的疫情,互联网企业正在行动",https://baijiahao.baidu.com/s?id=1656426274554405248&wfr=spider&for=pc
578,"而值得注意的是,在本次的主要发生地湖北省,相关医用防护设备随着更多新型肺炎患者被检出,开始不能满足需要。据《人民日报》1月22日消息,湖北省多地市目前对于...",手机凤凰网,http://cache.baidu.com/c?m=9f65cb4a8c8507ed4fece76310428c3a4a08d1342bd7a74e2b83cf1d84642c101a39feea3a275664979c0b2271ff431dfeb56b32610c37c19bdffe3ecaca973f58833034010bf74505a718b8bd4632b127&p=8c60845390934eac5df6c7710f43&newp=8b2a971e86cc42aa17aac9314a0892695803ed6337d2d601298ffe0cc4241a1a1a3aecbf22281a02d9c17c6402af4e5ee1f63270310834f1f689df08d2ecce7e74&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=c4fed36f00b45e93&p1=580,2020-01-22 21:12:00,"冠状病毒疫情升温 医用防护设备或短缺,相关企业加紧生产",http://finance.ifeng.com/c/7tRvkEwBb8s
239,"目前正值春运人群大迁徙期间,互联网企业也第一时间启动应急预案,积极推出旅客保障措施,遏制疫情蔓延。 美团、携程、同程艺龙、去哪儿、飞猪、驴妈妈等线上旅行平台分...",中国青年网,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8735420cdb3066848d027fa3c31bc8321c564711b2e6783f5113d2b1273116ae3f5feef73275370627b09bc98c4ed8b0942a2b8330347459d20105d26fee891d739660875aedfb44a7adf144d1ffc696821405c544737a9786ff4d7111dd18fb033192b1e84c022b11ad9b30728f5e&p=882a95468d9901b70be2963b165f&newp=c4759a45d58819fc57efdd3f4c4d92695c02dc3051d3d701298ffe0cc4241a1a1a3aecbb24241502d9c478610abb0f31aba7747d605f76fcc3&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=87c789b900aceac2&p1=240,2020-01-23 21:56:00,"疫情下,互联网公司全面开战",https://baijiahao.baidu.com/s?id=1656527552366794069&wfr=spider&for=pc
491,"疫情正呈紧张进展之势,日前,中国医药企业管理协会也向各会员单位下发了《倡议书》。 而包括本土企业、外资企业在内的数十家医药企业,已经开始动用自...",腾讯新闻,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8b315c4380147f94c7150885ce178e24081a1b7bb0a627201006d1c67c6172ad33209f8f347023467df7cdc79f3cddace45c38f922230717914163c468abdc3224d656904d99a8&p=b4759a4fd6925ae91eb6c7710f5e&newp=c0759a4fd68552fe01b9c7710f4c92695803ed633ad6db01298ffe0cc4241a1a1a3aecbf22281a07d7c37d6d03aa4d5fedf03671320634f1f689df08d2ecce7e699b766d24&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=e7eece2d005782e6&p1=493,2020-01-24 00:00:00,"直面疫情,医药企业这样度过春节",https://new.qq.com/rain/a/20200124A0HNGM00
573,"“防控为重,目前,我们24小时3班倒,全力以赴保证物资供应。”身为该制造部...不仅如此,作为健康防护领域的领军,蓝帆医疗将向武汉新型肺炎防控指挥部无偿捐...",新浪山东站,http://cache.baidu.com/c?m=9f65cb4a8c8507ed4fece763105781711923c1386084c7150885ce1784642c101b7bbfec62630d04d1c57e7001d94b5ffdf04072311e76e0dd9bd314cabbe47374d27b7c2a46d54714d012a4cf4232c157d100aff047f3ffad72c5a1c5a5df4325be44747f9787804d0065dd1ef40345e2b1ef48022f17&p=8c60845390934eac53f6c7710f43&newp=8b2a971e86cc42a417aac9314a0892695803ed603ed2da01298ffe0cc4241a1a1a3aecbf22281b03d6c67f6707af435ae0fa3679310434f1f689df08d2ecce7e74&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=c4fed36f00b45e93&p1=575,2020-01-24 08:24:00,备战疫情 这家淄博企业加班春节不放假 将捐100万只医护手套,http://sd.sina.com.cn/news/2020-01-24/detail-iihnzhha4419966.shtml
556,"冠状病毒疫情还没有得到有效遏制的这个特殊时期,有必要讨论讨论一个企业的社会责任! 今天是大年三十,睁开眼,想的不是要过年,如何庆祝,而是想今天能不能去买两包...",为师有料,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8735420cdb3066848d027fa3c31bc8321c564711b2e6783f5113d2b1273116ae3f5feef73275320121b79cce884adabe952f258830347459d20105d26fee891d739660875aedfb44a7adf144d1ffc696821405c544737a9786ff4d7111dd18fb033192b1e84c022b11ad9b30728f5e&p=8a65c75d899612a05abd9b74064b&newp=8b2a9715d9c94af201ad8e354f0d92695803ed603bd4da01298ffe0cc4241a1a1a3aecbf22281b0fd5c57c640bad4f57e9fb3579360634f1f689df08d2ecce7e&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=ef1298e300b60fb0&p1=558,2020-01-24 09:16:00,"在疫情的特殊时期,我们有必要讨论一下企业的社会责任是什么",https://baijiahao.baidu.com/s?id=1656570325422575582&wfr=spider&for=pc
186,"预计在未来几天内,还将有更多的新华社民族品牌工程企业加入到这场抗击新型冠状病毒感染的肺炎疫情“斗争”中来,以实际行动体现民族企业的责任与担当精神。“新华社民...",新华网客户端,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291846b6672b2540cb9ab6e29645973ea8cc8ff1a8ee0c46f388850652d439b0005d26df49d5124b723945deda81ce7b0f03397acd6d3dc5f57ca57127a84b5df1a1715bc2eb24f67b4e68e48110b4dfafa3113bd08&p=8f618315d9c446f217b0c7710f5f&newp=987b8316d9c109f208e29379520792695803ed6336d1c44324b9d71fd325001c1b69e7be2d281a05d0c4786204ad4c59edf63079321766dada9fca458ae7c46072&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=9ec4922c00ae54c4&p1=187,2020-01-24 09:54:00,新华社民族品牌工程企业全力支援武汉抗击肺炎疫情,https://baijiahao.baidu.com/s?id=1656572823606219626&wfr=spider&for=pc
430,"对因受影响导致生产经营困难的,可以通过与职工协商一致采取调整薪酬、轮岗轮休、缩短工时等方式稳定工作岗位,尽量不裁员或者少裁员。符合条件的,可按规定享...",人民日报,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291846b6672b2540cb9ab6e29645973ea8cc8ff1a8ee0c46f388850652d439b0005d26df49d5124b723945deda812e5bff43792a9d0d9de5e53c856127a84b5df1a1715bc2eb24f67b4e68e48110b4dfafa3113bd08&p=c366de15d9c244ef05b4c7710f4c&newp=84759a44d38b5dee07bcc7710f4f92695803ed6038d2d601298ffe0cc4241a1a1a3aecbf22281b0fd5c57c640bad4f57e9fb3579360634f1f689df08d2ecce7e6794666b21&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=88994c980000fa36&p1=432,2020-01-24 14:40:00,人社部:企业不得开除因疫情不能正常上班的员工,https://baijiahao.baidu.com/s?id=1656590767350838207&wfr=spider&for=pc
531,"对因受影响导致生产经营困难的,可以通过与职工协商一致采取调整薪酬、轮岗轮休、缩短工时等方式稳定工作岗位,尽量不裁员或者少裁员。符合条件的,可按规定享...",观察者网,http://cache.baidu.com/c?m=9d78d513d9d437af4f9be0697c13c011124380122ba6d4020bd5843e93732b465321a3e52878564291846b6672b25419afb52172405667e4c799d219cabbe579739565692e47c01a439204afc94627d627e458eab81e93baf62594dad5d2df5f57c044050dc1aacd055e&p=8b2a97019d8714f808e29379425f&newp=882a9242cc9b05f60be29628585992695803ed6336d1c44324b9d71fd325001c1b69e7be2d281a05d0c4786204ad4c59edf63079321766dada9fca458ae7c43277cc7e&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=e90dc9e6004baac3&p1=533,2020-01-24 15:02:00,人社部:企业不得开除因疫情不能正常上班的员工,https://www.guancha.cn/politics/2020_01_24_532968.shtml
581,"为做好新型冠状病毒感染的肺炎防控工作,妥善处理好防控期间劳动关系问题,维护职工合法权益,保障正常生产经营秩序,促进劳动关系和谐稳定,通知指出对新型冠状病...",青瞳视角,http://cache.baidu.com/c?m=9f65cb4a8c8507ed19fa950d100b8735420cdb3066848d027fa3c31bc8321c564711b2e6783f5113d2b1273116ae3f5feef732753c0323b791ca894bdfbf9322298b30347459d20105d26fee891d739660875aedfb44a7adf144d1ffc696821405c544737a9786ff4d7111dd18fb033192b1e84c022b11ad9b30728f5e&p=83759a46d59d12a05abfdf3f150d&newp=8b2a971d91af08e008e2977d455792695803ed603dd4db01298ffe0cc4241a1a1a3aecbf22281b0fd5c57c640bad4f57e9fb3579360634f1f689df08d2ecce7e77cf4b7d3f&user=baidu&fm=sc&query=%D2%DF%C7%E9+%C6%F3%D2%B5&qid=eacd084b00b07f46&p1=583,2020-01-24 15:02:00,人社部:疫情防控期间 企业不得解除被隔离人员劳动合同,https://baijiahao.baidu.com/s?id=1656592128033063841&wfr=spider&for=pc
